らち	ɾ a̠ t͡ɕ i
びゃくろく	bʲ a̠ k ɯ̟ᵝ ɾ o̞ k ɯ̟ᵝ
しゅうしん	ɕ ɨᵝː ɕ ĩ ɴ
きゅうけい	kʲ ɨᵝː k e̞ː
のうさいぼう	n o̞ː s a̠ i b o̞ː
にたりよったり	ɲ̟ i t a̠ ɾʲ i j o̞ t̚ t a̠ ɾʲ i
ざっこく	d͡z a̠ k̚ k o̞ k ɯ̟ᵝ
インジウム	ĩ ɲ̟ d͡ʑ i ɯ̟ᵝ m ɯ̟ᵝ
かんこどり	k ã̠ ŋ k o̞ d o̞ ɾʲ i
ぎけい	ɡʲ i k e̞ː
とい	t o̞ i
よくきょう	j o̞ k ɯ̟ᵝ kʲ o̞ː
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
ふせつ	ɸ ɯ̟ᵝ s e̞ t͡s ɨᵝ
とくと	t o̞ k ɯ̟ᵝ t o̞
じめん	d͡ʑ i m ẽ̞ ɴ
マッポ	m a̠ p̚ p o̞
ぼうど	b o̞ː d o̞
ひろう	ç i ɾ o̞ː
ふはつ	ɸ ɯ̟ᵝ h a̠ t͡s ɨᵝ
あっとうてき	a̠ t̚ t o̞ː t e̞ kʲ i
やくそく	j a̠ k ɯ̟̊ᵝ s o̞ k ɯ̟ᵝ
ドーハ	d o̞ː h a̠
かいさつぐち	k a̠ i s a̠ t͡s ɨᵝ ɡ ɯ̟ᵝ t͡ɕ i
さそいこむ	s a̠ s o̞ i k o̞ m ɯ̟ᵝ
ただす	t a̠ d a̠ s ɨᵝ
ヴァイオリニスト	b a̠ i o̞ ɾʲ i ɲ̟ i s ɨᵝ t o̞
オルゴール	o̞ ɾ ɯ̟ᵝ ɡ o̞ː ɾ ɯ̟ᵝ
ばく	b a̠ k ɯ̟ᵝ
なつちゅう	n a̠ t͡s ɨᵝ t͡ɕ ɨᵝː
ろんがい	ɾ õ̞ ŋ ɡ a̠ i
だんじょ	d ã̠ ɲ̟ d͡ʑ o̞
おせん	o̞ s ẽ̞ ɴ
かこうひん	k a̠ k o̞ː ç ĩ ɴ
わかれをつげる	ɰᵝ a̠ k a̠ ɾ e̞ o̞ t͡s ɨᵝ ɡ e̞ ɾ ɯ̟ᵝ
えいごう	e̞ː ɡ o̞ː
かいへん	k a̠ i h ẽ̞ ɴ
かぜとおし	k a̠ z e̞ t o̞ː ɕ i
うらやましい	ɯ̟ᵝ ɾ a̠ j a̠ m a̠ ɕ i i
かいがい	k a̠ i ɡ a̠ i
いしょう	i ɕ o̞ː
うろおぼえ	ɯ̟ᵝ ɾ o̞ː b o̞ e̞
しんやくせいしょ	ɕ ĩ ɰ̃ j a̠ k ɯ̟̊ᵝ s e̞ː ɕ o̞
シチュー	ɕ i̥ t͡ɕ ɨᵝː
リンク	ɾʲ ĩ ŋ k ɯ̟̊ᵝ
うんどうせんしゅ	ɯ̟̃ᵝ n d o̞ː s ẽ̞ ɰ̃ ɕ ɨᵝ
おんいん	õ̞ ɰ̃ ĩ ɴ
むせい	m ɯ̟ᵝ s e̞ː
とうかく	t o̞ː k a̠ k ɯ̟ᵝ
うみなり	ɯ̟ᵝ mʲ i n a̠ ɾʲ i
テンポ	t ẽ̞ m p o̞
ごめん	ɡ o̞ m ẽ̞ ɴ
たいくつしのぎ	t a̠ i k ɯ̟ᵝ t͡s ɨᵝ ɕ i n o̞ ɡʲ i
キルレ	kʲ i ɾ ɯ̟ᵝ ɾ e̞
がいりゃく	ɡ a̠ i ɾʲ a̠ k ɯ̟ᵝ
パンスト	p ã̠ ɰ̃ s ɨ̥ᵝ t o̞
こうこ	k o̞ː k o̞
いそうくうかんろん	i s o̞ː k ɯ̟ᵝː k ã̠ n ɾ õ̞ ɴ
なおひろ	n a̠ o̞ ç i ɾ o̞
はて	h a̠ t e̞
こうにち	k o̞ː ɲ̟ i t͡ɕ i
じゅんようかん	d͡ʑ ɨ̃ᵝ ɰ̃ j o̞ː k ã̠ ɴ
シーソー	ɕ iː s o̞ː
にっかんしんぶん	ɲ̟ i k̚ k ã̠ ɰ̃ ɕ ĩ m b ɯ̟̃ᵝ ɴ
テンペ	t ẽ̞ m p e̞
やちん	j a̠ t͡ɕ ĩ ɴ
じおん	d͡ʑ i õ̞ ɴ
せんりがん	s ẽ̞ n ɾʲ i ɡ ã̠ ɴ
こもの	k o̞ m o̞ n o̞
ふくろくじゅ	ɸ ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞ k ɯ̟ᵝ ʑ ɨᵝ
ひやす	ç i j a̠ s ɨᵝ
ぼっち	b o̞ t̚ t͡ɕ i
あつがみ	a̠ t͡s ɨᵝ ɡ a̠ mʲ i
ホルミウム	h o̞ ɾ ɯ̟ᵝ mʲ i ɯ̟ᵝ m ɯ̟ᵝ
ちんぷんかんぷん	t͡ɕ ĩ m p ɯ̟̃ᵝ ŋ k ã̠ m p ɯ̟̃ᵝ ɴ
はいきゅう	h a̠ i kʲ ɨᵝː
タラップ	t a̠ ɾ a̠ p̚ p ɯ̟ᵝ
コーンシロップ	k õ̞ː ɰ̃ ɕ i ɾ o̞ p̚ p ɯ̟ᵝ
カチオン	k a̠ t͡ɕ i õ̞ ɴ
かに	k a̠ ɲ̟ i
シェ	ɕ e̞
あおぐ	a̠ o̞ ɡ ɯ̟ᵝ
ようれい	j o̞ː ɾ e̞ː
パンケーキ	p ã̠ ŋ k e̞ː kʲ i
りくい	ɾʲ i k ɯ̟ᵝ i
しかつもんだい	ɕ i k a̠ t͡s ɨᵝ m õ̞ n d a̠ i
スプリッター	s ɨᵝ p ɯ̟ᵝ ɾʲ i t̚ t a̠ː
まめまめしい	m a̠ m e̞ m a̠ m e̞ ɕ iː
でんごん	d ẽ̞ ŋ ɡ õ̞ ɴ
しんぼうづよい	ɕ ĩ m b o̞ː z ɨᵝ j o̞ i
ほどこす	h o̞ d o̞ k o̞ s ɨᵝ
はしりがき	h a̠ ɕ i ɾʲ i ɡ a̠ kʲ i
ちょうじゃ	t͡ɕ o̞ː ʑ a̠
いさましい	i s a̠ m a̠ ɕ i i
タキシード	t a̠ kʲ i̥ ɕ iː d o̞
ますたけ	m a̠ s ɨᵝ t a̠ k e̞
こうし	k o̞ ɯ̟ᵝ ɕ i
はけん	h a̠ k ẽ̞ ɴ
せわやき	s e̞ ɰᵝ a̠ j a̠ kʲ i
エントリー	ẽ̞ n t o̞ ɾʲ iː
やれやれ	j a̠ ɾ e̞ j a̠ ɾ e̞
せんば	s ẽ̞ m b a̠
わらべうた	ɰᵝ a̠ ɾ a̠ b e̞ ɯ̟ᵝ t a̠
イソシアニド	i s o̞ ɕ i a̠ ɲ̟ i d o̞
とろ	t o̞ ɾ o̞
ひぐま	ç i ɡ ɯ̟ᵝ m a̠
どら	d o̞ ɾ a̠
ごっこ	ɡ o̞ k̚ k o̞
どうほう	d o̞ː h o̞ː
もうしあげる	m o̞ː ɕ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
じんもん	d͡ʑ ĩ mː õ̞ ɴ
ポップス	p o̞ p̚ p ɯ̟̊ᵝ s ɨᵝ
たっきゅう	t a̠ k̚ʲ kʲ ɨᵝː
ロードローラー	ɾ o̞ː d o̞ ɾ o̞ː ɾ a̠ː
いつくしむ	i t͡s ɨᵝ k ɯ̟ᵝ ɕ i m ɯ̟ᵝ
タンヤオ	t ã̠ ɰ̃ j a̠ o̞
ぎじゅつ	ɡʲ i ʑ ɨᵝ t͡s ɨᵝ
あおうなばら	a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠
ほそながい	h o̞ s o̞ n a̠ ɡ a̠ i
のこった	n o̞ k o̞ t̚ t a̠
くじょ	k ɯ̟ᵝ ʑ o̞
カミソール	k a̠ mʲ i s o̞ː ɾ ɯ̟ᵝ
ソックパペット	s o̞ k̚ k ɯ̟ᵝ p a̠ p e̞ t̚ t o̞
おみくじ	o̞ mʲ i k ɯ̟ᵝ ʑ i
ホワイトクリスマス	h o̞ ɰᵝ a̠ i t o̞ k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ
けんせきうん	k ẽ̞ ɰ̃ s e̞ kʲ i ɯ̟̃ᵝ ɴ
たいとう	t a̠ i t o̞ː
たからのちず	t a̠ k a̠ ɾ a̠ n o̞ t͡ɕ i z ɨᵝ
ていきょう	t e̞ː kʲ o̞ː
ライター	ɾ a̠ i t a̠ː
かだい	k a̠ d a̠ i
うぷぬし	ɯ̟ᵝ p ɯ̟ᵝ n ɯ̟ᵝ ɕ i
ノンセクション	n õ̞ ɰ̃ s e̞ k ɯ̟ᵝ ɕ õ̞ ɴ
くんしゅこく	k ɯ̟̃ᵝ ɰ̃ ɕ ɨ̥ᵝ k o̞ k ɯ̟ᵝ
チェーンメール	t͡ɕ ẽ̞ː m m e̞ː ɾ ɯ̟ᵝ
こはん	k o̞ h ã̠ ɴ
ほうじる	h o̞ː ʑ i ɾ ɯ̟ᵝ
だいだいてき	d a̠ i d a̠ i t e̞ kʲ i
じゃっかん	d͡ʑ a̠ k̚ k ã̠ ɴ
おうさま	o̞ː s a̠ m a̠
ばんせいふえき	b ã̠ ɰ̃ s e̞ː ɸ ɯ̟ᵝ e̞ kʲ i
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
ひしくい	ç i̥ ɕ i k ɯ̟ᵝ i
かくれおに	k a̠ k ɯ̟ᵝ ɾ e̞ o̞ ɲ̟ i
すうじ	s ɨᵝː ʑ i
ぶっかけ	b ɯ̟ᵝ k̚ k a̠ k e̞
ねちがえる	n e̞ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
はりもぐら	h a̠ ɾʲ i m o̞ ɡ ɯ̟ᵝ ɾ a̠
さい	s a̠ i
こうにん	k o̞ː ɲ̟ ĩ ɴ
トロリー	t o̞ ɾ o̞ ɾʲ iː
モーターボート	m o̞ː t a̠ː b o̞ː t o̞
だんな	d ã̠ nː a̠
ともよし	t o̞ m o̞ j o̞ ɕ i
しょせいじゅつ	ɕ o̞ s e̞ː ʑ ɨᵝ t͡s ɨᵝ
ぎゅうしゃ	ɡʲ ɨᵝː ɕ a̠
メタンガス	m e̞ t ã̠ ŋ ɡ a̠ s ɨᵝ
おおうみがらす	o̞ː ɯ̟ᵝ mʲ i ɡ a̠ ɾ a̠ s ɨᵝ
ちえん	t͡ɕ i ẽ̞ ɴ
イールランド	iː ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
ろうほう	ɾ o̞ː h o̞ː
かんゆう	k ã̠ ɰ̃ j ɯ̟ᵝː
つのる	t͡s ɨᵝ n o̞ ɾ ɯ̟ᵝ
はいおく	h a̠ i o̞ k ɯ̟ᵝ
インターチェンジ	ĩ n t a̠ː t͡ɕ ẽ̞ ɲ̟ d͡ʑ i
しゅうまつ	ɕ ɨᵝː m a̠ t͡s ɨᵝ
ゆうぼくみん	j ɯ̟ᵝː b o̞ k ɯ̟ᵝ mʲ ĩ ɴ
うちゅうふく	ɯ̟ᵝ t͡ɕ ɨᵝː ɸ ɯ̟ᵝ k ɯ̟ᵝ
ガムプション	ɡ a̠ m ɯ̟ᵝ p ɯ̟ᵝ ɕ õ̞ ɴ
こうせんじゅう	k o̞ː s ẽ̞ ɲ̟ d͡ʑ ɨᵝː
たいわ	t a̠ i ɰᵝ a̠
ファクス	ɸ a̠ k ɯ̟ᵝ s ɨᵝ
とうゆ	t o̞ː j ɯ̟ᵝ
たにくしょくぶつ	t a̠ ɲ̟ i k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ
ちくふじん	t͡ɕ i k ɯ̟ᵝ ɸ ɯ̟ᵝ ʑ ĩ ɴ
うちとみ	ɯ̟ᵝ t͡ɕ i t o̞ mʲ i
こころよい	k o̞ k o̞ ɾ o̞ j o̞ i
そば	s o̞ b a̠
ラジャー	ɾ a̠ ʑ a̠ː
つめたい	t͡s ɨᵝ m e̞ t a̠ i
ぜんえいげいじゅつ	d͡z ẽ̞ ɰ̃ e̞ː ɡ e̞ː ʑ ɨᵝ t͡s ɨᵝ
へへののもへじ	h e̞ h e̞ n o̞ n o̞ m o̞ h e̞ ʑ i
まんまん	m ã̠ mː ã̠ ɴ
フードファイター	ɸ ɯ̟ᵝː d o̞ ɸ a̠ i t a̠ː
きそう	kʲ i s o̞ː
まんしん	m ã̠ ɰ̃ ɕ ĩ ɴ
げきど	ɡ e̞ kʲ i d o̞
ゆたか	j ɯ̟ᵝ t a̠ k a̠
まよう	m a̠ j o̞ ɯ̟ᵝ
そうしきゅう	s o̞ː ɕ i̥ kʲ ɨᵝː
わりあてる	ɰᵝ a̠ ɾʲ i a̠ t e̞ ɾ ɯ̟ᵝ
ようりく	j o̞ː ɾʲ i k ɯ̟ᵝ
たどりつく	t a̠ d o̞ ɾʲ i t͡s ɨᵝ k ɯ̟ᵝ
てんし	t ẽ̞ ɰ̃ ɕ i
じさつ	d͡ʑ i s a̠ t͡s ɨᵝ
おかざわ	o̞ k a̠ z a̠ ɰᵝ a̠
かくてい	k a̠ k ɯ̟ᵝ t e̞ː
ひばくしゃ	ç i b a̠ k ɯ̟̊ᵝ ɕ a̠
しゃたい	ɕ a̠ t a̠ i
でんぱけい	d ẽ̞ m p a̠ k e̞ː
めいじる	m e̞ː ʑ i ɾ ɯ̟ᵝ
ふもん	ɸ ɯ̟ᵝ m õ̞ ɴ
バイブレーター	b a̠ i b ɯ̟ᵝ ɾ e̞ː t a̠ː
みせ	mʲ i s e̞
うめこむ	ɯ̟ᵝ m e̞ k o̞ m ɯ̟ᵝ
しそく	ɕ i s o̞ k ɯ̟ᵝ
まんざらでもない	m ã̠ n d͡z a̠ ɾ a̠ d e̞ m o̞ n a̠ i
しょうじる	ɕ o̞ː ʑ i ɾ ɯ̟ᵝ
しぜんげんしょう	ɕ i z ẽ̞ ŋ ɡ ẽ̞ ɰ̃ ɕ o̞ː
すな	s ɨᵝ n a̠
ひ	j o̞ː
じへい	d͡ʑ i h e̞ː
にやす	ɲ̟ i j a̠ s ɨᵝ
アセティシズム	a̠ s e̞ tʲ i ɕ i z ɨᵝ m ɯ̟ᵝ
ゆれる	j ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ほんこう	h õ̞ ŋ k o̞ː
しずむ	ɕ i z ɨᵝ m ɯ̟ᵝ
ふきつ	ɸ ɯ̟ᵝ kʲ i t͡s ɨᵝ
だいちょうきん	d a̠ i t͡ɕ o̞ː kʲ ĩ ɴ
ゆうびんうけ	j ɯ̟ᵝː bʲ ĩ ɰ̃ ɯ̟ᵝ k e̞
バリオン	b a̠ ɾʲ i õ̞ ɴ
じどう	d͡ʑ i d o̞ː
ウインク	ɯ̟ᵝ ĩ ŋ k ɯ̟ᵝ
たんご	t ã̠ ŋ ɡ o̞
にっちゅう	ɲ̟ i t̚ t͡ɕ ɨᵝː
たんじゅうさん	t ã̠ ɲ̟ d͡ʑ ɨᵝː s ã̠ ɴ
にゅうとう	ɲ̟ ɯ̟ᵝː t o̞ː
あしゅう	a̠ ɕ ɨᵝː
きかい	kʲ i̥ k a̠ i
ろだい	ɾ o̞ d a̠ i
あまだれ	a̠ m a̠ d a̠ ɾ e̞
パイオニア	p a̠ i o̞ ɲ̟ i a̠
とりい	t o̞ ɾʲ i i
しんろしどう	ɕ ĩ n ɾ o̞ ɕ i d o̞ː
サイレン	s a̠ i ɾ ẽ̞ ɴ
けしき	k e̞ ɕ i kʲ i
まねく	m a̠ n e̞ k ɯ̟ᵝ
のうどうたい	n o̞ː d o̞ː t a̠ i
ダブル・ミーニング	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ iː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
むすめむこ	m ɯ̟ᵝ s ɨᵝ m e̞ m ɯ̟ᵝ k o̞
ゆうぐう	j ɯ̟ᵝː ɡ ɯ̟ᵝː
キーライムパイ	kʲ iː ɾ a̠ i m ɯ̟ᵝ p a̠ i
じっけんしつ	d͡ʑ i k̚ k ẽ̞ ɰ̃ ɕ i̥ t͡s ɨᵝ
もり	m o̞ ɾʲ i
ろうかん	ɾ o̞ː k ã̠ ɴ
しゃきん	ɕ a̠ kʲ ĩ ɴ
はいしん	h a̠ i ɕ ĩ ɴ
ヤンニョム	j ã̠ ɲ̟ ɲ̟ o̞ m ɯ̟ᵝ
ずいこう	d͡z ɨᵝ i k o̞ː
ポーカー	p o̞ː k a̠ː
ばくが	b a̠ k ɯ̟ᵝ ɡ a̠
えんしゅつ	ẽ̞ ɰ̃ ɕ ɨᵝ t͡s ɨᵝ
とうごろん	t o̞ː ɡ o̞ ɾ õ̞ ɴ
ざれごと	d͡z a̠ ɾ e̞ ɡ o̞ t o̞
おいこす	o̞ i k o̞ s ɨᵝ
まだまだ	m a̠ d a̠ m a̠ d a̠
いいかた	i i k a̠ t a̠
せきたん	s e̞ kʲ i t ã̠ ɴ
しらける	ɕ i ɾ a̠ k e̞ ɾ ɯ̟ᵝ
こうとうしょ	k o̞ː t o̞ː ɕ o̞
てなみ	t e̞ n a̠ mʲ i
はしょうふう	h a̠ ɕ o̞ː ɸ ɯ̟ᵝː
めいしん	m e̞ː ɕ ĩ ɴ
どうろふうさ	d o̞ː ɾ o̞ ɸ ɯ̟ᵝː s a̠
ホームディレクトリ	h o̞ː m ɯ̟ᵝ dʲ i ɾ e̞ k ɯ̟ᵝ t o̞ ɾʲ i
しょうどうがい	ɕ o̞ː d o̞ː ɡ a̠ i
ぐこうやまをうつす	ɡ ɯ̟ᵝ k o̞ː j a̠ m a̠ o̞ ɯ̟ᵝ t͡s ɨᵝ s ɨᵝ
キャディー	kʲ a̠ dʲ iː
ぜつぼう	d͡z e̞ t͡s ɨᵝ b o̞ː
れっとうかん	ɾ e̞ t̚ t o̞ː k ã̠ ɴ
びちょうせい	bʲ i t͡ɕ o̞ː s e̞ː
レンチン	ɾ ẽ̞ ɲ̟ t͡ɕ ĩ ɴ
けいりょうき	k e̞ː ɾʲ o̞ː kʲ i
うちくび	ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ bʲ i
やりとげる	j a̠ ɾʲ i t o̞ ɡ e̞ ɾ ɯ̟ᵝ
はるき	h a̠ ɾ ɯ̟ᵝ kʲ i
ナチ	n a̠ t͡ɕ i
しゅうえきか	ɕ ɨᵝː e̞ kʲ i k a̠
めいじいしん	m e̞ː ʑ i i ɕ ĩ ɴ
むぞうさ	m ɯ̟ᵝ z o̞ː s a̠
みまわす	mʲ i m a̠ ɰᵝ a̠ s ɨᵝ
プラットホーム	p ɯ̟ᵝ ɾ a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
さんぎょう	s ã̠ ŋʲ ɡʲ o̞ː
つよび	t͡s ɨᵝ j o̞ bʲ i
わたぐも	ɰᵝ a̠ t a̠ ɡ ɯ̟ᵝ m o̞
たきつぼ	t a̠ kʲ i t͡s ɨᵝ b o̞
ニイハオ	ɲ̟ iː h a̠ o̞
モノホン	m o̞ n o̞ h õ̞ ɴ
かんしつけい	k ã̠ ɰ̃ ɕ i t͡s ɨᵝ k e̞ː
ののじてん	n o̞ n o̞ ʑ i t ẽ̞ ɴ
さいにゅう	s a̠ i ɲ̟ ɯ̟ᵝː
サイレージ	s a̠ i ɾ e̞ː ʑ i
きぎ	kʲ i ɡʲ i
とにかく	t o̞ ɲ̟ i k a̠ k ɯ̟ᵝ
ほうれんそう	h o̞ː ɾ ẽ̞ ɰ̃ s o̞ː
きしゅ	kʲ i ɕ ɨᵝ
せかいぎんこう	s e̞ k a̠ i ɡʲ ĩ ŋ k o̞ː
どうだんつつじ	d o̞ː d ã̠ n t͡s ɨᵝ t͡s ɨᵝ ʑ i
にんにく	ɲ̟ ĩ ɲ̟ ɲ̟ i k ɯ̟ᵝ
ひらたい	ç i ɾ a̠ t a̠ i
きやすめ	kʲ i j a̠ s ɨᵝ m e̞
まえうり	m a̠ e̞ ɯ̟ᵝ ɾʲ i
さげすむ	s a̠ ɡ e̞ s ɨᵝ m ɯ̟ᵝ
ソナタ	s o̞ n a̠ t a̠
おもむく	o̞ m o̞ m ɯ̟ᵝ k ɯ̟ᵝ
やえば	j a̠ e̞ b a̠
なかば	n a̠ k a̠ b a̠
リクエスト	ɾʲ i k ɯ̟ᵝ e̞ s ɨᵝ t o̞
ちゃば	t͡ɕ a̠ b a̠
はながた	h a̠ n a̠ ɡ a̠ t a̠
ポンポン	p õ̞ m p õ̞ ɴ
ちゅうさいにん	t͡ɕ ɨᵝː s a̠ i ɲ̟ ĩ ɴ
しのびこむ	ɕ i n o̞ bʲ i k o̞ m ɯ̟ᵝ
じゅうみん	d͡ʑ ɨᵝː mʲ ĩ ɴ
プードル	p ɯ̟ᵝː d o̞ ɾ ɯ̟ᵝ
セメント	s e̞ m ẽ̞ n t o̞
みぎきき	mʲ i ɡʲ i kʲ i kʲ i
したじき	ɕ i t a̠ ʑ i kʲ i
ふごう	ɸ ɯ̟ᵝ ɡ o̞ː
つめかんむり	t͡s ɨᵝ m e̞ k ã̠ mː ɯ̟ᵝ ɾʲ i
しっぱい	ɕ i̥ p̚ p a̠ i
きら	kʲ i ɾ a̠
ししゃごにゅう	ɕ i ɕ a̠ ɡ o̞ ɲ̟ ɯ̟ᵝː
メンタル	m ẽ̞ n t a̠ ɾ ɯ̟ᵝ
はげる	h a̠ ɡ e̞ ɾ ɯ̟ᵝ
オーバーオール	o̞ː b a̠ː o̞ː ɾ ɯ̟ᵝ
いたくさんか	i t a̠ k ɯ̟ᵝ s ã̠ ŋ k a̠
にがて	ɲ̟ i ɡ a̠ t e̞
おもしろい	o̞ m o̞ ɕ i ɾ o̞ i
けが	k e̞ ɡ a̠
なんてんもん	n ã̠ n t ẽ̞ m m õ̞ ɴ
おおぎり	o̞ː ɡʲ i ɾʲ i
ようせき	j o̞ː s e̞ kʲ i
にじほうていしき	ɲ̟ i ʑ i h o̞ː t e̞ː ɕ i̥ kʲ i
いきつぎ	i kʲ i t͡s ɨᵝ ɡʲ i
ツァーリズム	t͡s a̠ː ɾʲ i z ɨᵝ m ɯ̟ᵝ
しゅっそう	ɕ ɨᵝ sː o̞ː
はるさめ	h a̠ ɾ ɯ̟ᵝ s a̠ m e̞
ほてい	h o̞ t e̞ː
やのあさって	j a̠ n o̞ a̠ s a̠ t̚ t e̞
とうなん	t o̞ː n ã̠ ɴ
ないしょ	n a̠ i ɕ o̞
ぜんじゅつ	d͡z ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
やがい	j a̠ ɡ a̠ i
あざ	a̠ z a̠
べこ	b e̞ k o̞
おとこのひと	o̞ t o̞ k o̞ n o̞ ç i̥ t o̞
ひとしれず	ç i t o̞ ɕ i ɾ e̞ z ɨᵝ
かふそく	k a̠ ɸ ɯ̟ᵝ s o̞ k ɯ̟ᵝ
がくせつ	ɡ a̠ k ɯ̟̊ᵝ s e̞ t͡s ɨᵝ
とじょう	t o̞ ʑ o̞ː
しょうしたい	ɕ o̞ː ɕ i t a̠ i
サリン	s a̠ ɾʲ ĩ ɴ
ねえちゃん	n e̞ː t͡ɕ ã̠ ɴ
ぶどうだん	b ɯ̟ᵝ d o̞ː d ã̠ ɴ
にしんほう	ɲ̟ i ɕ ĩ ɰ̃ h o̞ː
ながじゅばん	n a̠ ɡ a̠ ʑ ɨᵝ b ã̠ ɴ
けいばじょう	k e̞ː b a̠ ʑ o̞ː
まえかけ	m a̠ e̞ k a̠ k e̞
ズボン	d͡z ɨᵝ b õ̞ ɴ
しゅだい	ɕ ɨᵝ d a̠ i
ぎれい	ɡʲ i ɾ e̞ː
インターポール	ĩ n t a̠ː p o̞ː ɾ ɯ̟ᵝ
ありがと	a̠ ɾʲ i ɡ a̠ t o̞
ええ	e̞ː
ばばっちい	b a̠ b a̠ t̚ t͡ɕ iː
しじょ	ɕ i ʑ o̞
のっとる	n o̞ t̚ t o̞ ɾ ɯ̟ᵝ
あいだがら	a̠ i d a̠ ɡ a̠ ɾ a̠
かがくてき	k a̠ ɡ a̠ k ɯ̟ᵝ t e̞ kʲ i
でんしゃ	d ẽ̞ ɰ̃ ɕ a̠
カクテルパーティー	k a̠ k ɯ̟̊ᵝ t e̞ ɾ ɯ̟ᵝ p a̠ː tʲ iː
ろうそく	ɾ o̞ː s o̞ k ɯ̟ᵝ
リムジン	ɾʲ i m ɯ̟ᵝ ʑ ĩ ɴ
おね	o̞ n e̞
でかす	d e̞ k a̠ s ɨᵝ
たくろう	t a̠ k ɯ̟ᵝ ɾ o̞ː
れんじょう	ɾ ẽ̞ ɲ̟ d͡ʑ o̞ː
いぬい	k ã̠ ɴ
めん	m ẽ̞ ɴ
けんあん	k ẽ̞ ɰ̃ ã̠ ɴ
ちょくげん	t͡ɕ o̞ k ɯ̟ᵝ ɡ ẽ̞ ɴ
くびったけ	k ɯ̟ᵝ bʲ i t̚ t a̠ k e̞
のりいれる	n o̞ ɾʲ iː ɾ e̞ ɾ ɯ̟ᵝ
て	t e̞
くみこ	k ɯ̟ᵝ mʲ i k o̞
がたおち	ɡ a̠ t a̠ o̞ t͡ɕ i
やみくも	j a̠ mʲ i k ɯ̟ᵝ m o̞
むこ	m ɯ̟ᵝ k o̞
えんそ	ẽ̞ ɰ̃ s o̞
しゅうだん	ɕ ɨᵝː d ã̠ ɴ
ブロマイド	b ɯ̟ᵝ ɾ o̞ m a̠ i d o̞
しんたく	ɕ ĩ n t a̠ k ɯ̟ᵝ
ぞくせつ	d͡z o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
ほねみ	h o̞ n e̞ mʲ i
ひきんぞく	ç i̥ kʲ ĩ n d͡z o̞ k ɯ̟ᵝ
おちびさん	o̞ t͡ɕ i bʲ i s ã̠ ɴ
げんだいご	ɡ ẽ̞ n d a̠ i ɡ o̞
ときいろ	t o̞ kʲ iː ɾ o̞
エフジェーケー	e̞ ɸ ɯ̟ᵝ ʑ e̞ː k e̞ː
すうせい	s ɨᵝː s e̞ː
やまかわ	j a̠ m a̠ k a̠ ɰᵝ a̠
とそう	t o̞ s o̞ː
おおはし	o̞ː h a̠ ɕ i
ふっとぶ	ɸ ɯ̟ᵝ t̚ t o̞ b ɯ̟ᵝ
はしゅつじょ	h a̠ ɕ ɨᵝ t͡s ɨᵝ ʑ o̞
さいしょ	s a̠ i ɕ o̞
じゅうしょう	d͡ʑ ɨᵝː ɕ o̞ː
ポートレート	p o̞ː t o̞ ɾ e̞ː t o̞
いちじばらい	i t͡ɕ i ʑ i b a̠ ɾ a̠ i
こいしい	k o̞ i ɕ i i
オペ	o̞ p e̞
まなぶ	m a̠ n a̠ b ɯ̟ᵝ
やくじょう	j a̠ k ɯ̟ᵝ ʑ o̞ː
おろか	o̞ ɾ o̞ k a̠
けいはんざい	k e̞ː h ã̠ n d͡z a̠ i
ばふだ	b a̠ ɸ ɯ̟ᵝ d a̠
みえけん	mʲ i e̞ k ẽ̞ ɴ
ザグレブ	d͡z a̠ ɡ ɯ̟ᵝ ɾ e̞ b ɯ̟ᵝ
きゅうじ	kʲ ɨᵝː ʑ i
ふそん	ɸ ɯ̟ᵝ s õ̞ ɴ
じてんしゃ	d͡ʑ i t ẽ̞ ɰ̃ ɕ a̠
おちど	o̞ t͡ɕ i d o̞
にもつ	ɲ̟ i m o̞ t͡s ɨᵝ
しきり	ɕ i kʲ i ɾʲ i
ネパール	n e̞ p a̠ː ɾ ɯ̟ᵝ
うどのき	ɯ̟ᵝ d o̞ n o̞ kʲ i
ためん	t a̠ m ẽ̞ ɴ
せいじゅつ	s e̞ː ʑ ɨᵝ t͡s ɨᵝ
マシマロ	m a̠ ɕ i m a̠ ɾ o̞
きかいせい	kʲ i k a̠ i s e̞ː
