らち	ɾ a t͡ɕ i
ほど	h o d o
なまりいろ	n a m a ɾʲ i ɾ o
じょうざぶ	d͡ʑ o z a b ɯ
アミノ	a mʲ i n o
ルペン	ɾ ɯ p ẽ ɴ
こうこうがいおん	k o k o ɡ a i õ ɴ
がいしゅつ	ɡ a i ɕ ɨ t͡s ɨ
てぃ	tʲ i
めんどり	m ẽ n d o ɾʲ i
はにわ	h a ɲ i ɰ a
げん	ɡ ẽ ɴ
ドレスコード	d o ɾ e s ɨ k o d o
かける	k a k e ɾ ɯ
わもんあざらし	ɰ a m õ ɰ a z a ɾ a ɕ i
とりかえる	t o ɾʲ i k a e ɾ ɯ
いせえび	i s e e bʲ i
インスト	ĩ ɰ s ɨ t o
ファクト	ɸ a k ɯ t o
こかげ	k o k a ɡ e
かもしか	k a m o ɕ i k a
ジングル	d͡ʑ ĩ ŋ ɡ ɯ ɾ ɯ
フリント	ɸ ɯ ɾʲ ĩ n t o
セックスアピール	s e k̚ k ɯ s ɨ a pʲ i ɾ ɯ
クリトリス	k ɯ ɾʲ i t o ɾʲ i s ɨ
ちかう	t͡ɕ i k a ɯ
きんし	kʲ ĩ ɰ ɕ i
しうち	ɕ i ɯ t͡ɕ i
やすい	j a s ɨ i
ひっくるめる	ç i k̚ k ɯ ɾ ɯ m e ɾ ɯ
とっけつもじ	t o k̚ k e t͡s ɨ m o ʑ i
アールヌーボー	a ɾ ɯ n ɯ b o
かじんはくめい	k a ʑ ĩ ɰ h a k ɯ m e
ほっする	h o s ɯ ɾ ɯ
がいためほう	ɡ a i t a m e h o
セントルシア	s ẽ n t o ɾ ɯ ɕ i a
ぐ	ɡ ɯ
るいじんえん	ɾ ɯ i ʑ ĩ ɰ ẽ ɴ
ぶたぎり	b ɯ t a ɡʲ i ɾʲ i
てあて	t e a t e
てなれる	t e n a ɾ e ɾ ɯ
きんきゅう	kʲ ĩ ŋʲ kʲ ɨ
めやに	m e j a ɲ i
すぶた	s ɨ b ɯ t a
ピジン	pʲ i ʑ ĩ ɴ
ふういん	ɸ ɯ ĩ ɴ
ちゅうごく	t͡ɕ ɨ ɡ o k ɯ
しゅらばる	ɕ ɨ ɾ a b a ɾ ɯ
ランダムアクセスメモリー	ɾ ã n d a m ɯ a k ɯ s e s ɨ m e m o ɾʲ i
かんこくがく	k ã ŋ k o k ɯ ɡ a k ɯ
じゅんねん	d͡ʑ ɨ n ẽ ɴ
ひしがた	ç i ɕ i ɡ a t a
いんき	ĩ ŋʲ kʲ i
ざいだんほうじん	d͡z a i d ã ɰ h o ʑ ĩ ɴ
さいしょう	s a i ɕ o
どうおんいぎご	d o õ ɰ i ɡʲ i ɡ o
あきはばら	a kʲ i h a b a ɾ a
せいと	s e t o
ジグ	d͡ʑ i ɡ ɯ
ハムスター	h a m ɯ s ɨ t a
だいぜん	d a i z ẽ ɴ
まわす	m a ɰ a s ɨ
だいていたく	d a i t e t a k ɯ
はいえい	h a i e
あかぬけ	a k a n ɯ k e
このよ	k o n o j o
よそよそしい	j o s o j o s o ɕ i i
どうり	d o ɾʲ i
でまえ	d e m a e
スカラブ	s ɨ k a ɾ a b ɯ
ステッカー	s ɨ t e k̚ k a
もつれがみ	m o t͡s ɨ ɾ e ɡ a mʲ i
こうせい	k o s e
かいうさぎ	k a i ɯ s a ɡʲ i
しつう	ɕ i t͡s ɨ
ぐしゃ	o ɾ e m o n o
おどろかす	o d o ɾ o k a s ɨ
スルタン	s ɨ ɾ ɯ t ã ɴ
のり	n o ɾʲ i
とり	t o ɾʲ i
けんきゅうかい	k ẽ ŋʲ kʲ ɨ k a i
サーファー	s a ɸ a
とうとつ	t o t o t͡s ɨ
しゅつりょく	ɕ ɨ t͡s ɨ ɾʲ o k ɯ
めいかい	m e k a i
ひげくじら	ç i ɡ e k ɯ ʑ i ɾ a
おによめ	o ɲ i j o m e
きぶんや	kʲ i b ɯ ɰ j a
だいじょうぶっきょう	d a i ʑ o b ɯ k̚ʲ kʲ o
きゅうびこ	kʲ ɨ bʲ i k o
はしおき	h a ɕ i o kʲ i
たそがれる	t a s o ɡ a ɾ e ɾ ɯ
もちだす	m o t͡ɕ i d a s ɨ
プライヤ	p ɯ ɾ a i j a
ヒドラゾン	ç i d o ɾ a z õ ɴ
サンデー	s ã n d e
しせつ	ɕ i s e t͡s ɨ
ラーメン	ɾ a m ẽ ɴ
あらわす	a ɾ a ɰ a s ɨ
ホスト	h o s ɨ t o
ウシバエ	ɯ ɕ i b a e
くずれる	k ɯ z ɨ ɾ e ɾ ɯ
どんこう	d õ ŋ k o
ストップウオッチ	s ɨ t o p̚ p ɯ ɯ o t̚ t͡ɕ i
キャンパス	kʲ ã m p a s ɨ
わしょ	ɰ a ɕ o
のけもの	n o k e m o n o
もんしょうがく	m õ ɰ ɕ o ɡ a k ɯ
さしぼう	s a ɕ i b o
こくさく	k o k ɯ s a k ɯ
ろせんてんかん	ɾ o s ẽ n t ẽ ŋ k ã ɴ
えかき	e k a kʲ i
せいじがく	s e ʑ i ɡ a k ɯ
ふくへい	ɸ ɯ k ɯ h e
むろん	m ɯ ɾ õ ɴ
みみずく	mʲ i mʲ i z ɨ k ɯ
けいひん	k e ç ĩ ɴ
すいうん	s ɨ i ɯ ɴ
ずいしょう	d͡z ɨ i ɕ o
ていけっとう	t e k e t̚ t o
もうちょう	m o t͡ɕ o
グアニジン	ɡ ɯ a ɲ i ʑ ĩ ɴ
まさる	m a s a ɾ ɯ
とうらい	t o ɾ a i
ひろうえん	ç i ɾ o ẽ ɴ
きんじょうてっぺき	kʲ ĩ ɲ d͡ʑ o t e p̚ p e kʲ i
えもんふ	e m õ ɰ ɸ ɯ
フィッシュ・アンド・チップス	ɸʲ i ɕ ɯ ã n d o t͡ɕ i p̚ p ɯ s ɨ
アルベド	a ɾ ɯ b e d o
きさらぎ	kʲ i s a ɾ a ɡʲ i
らぶか	ɾ a b ɯ k a
のうそんぶ	n o s õ m b ɯ
せわしない	s e ɰ a ɕ i n a i
みやぶる	mʲ i j a b ɯ ɾ ɯ
モンスーン	m õ ɰ s ɨ ɴ
しおき	ɕ i o kʲ i
ルビジウム	ɾ ɯ bʲ i ʑ i ɯ m ɯ
ブラックバス	b ɯ ɾ a k̚ k ɯ b a s ɨ
ようにゅう	j o ɲ ɯ
にじてき	ɲ i ʑ i t e kʲ i
ふきや	ɸ ɯ kʲ i j a
ける	k e ɾ ɯ
メッカ	m e k̚ k a
こむすび	k o m ɯ s ɨ bʲ i
コミチバシリ	k o mʲ i t͡ɕ i b a ɕ i ɾʲ i
かがやく	k a ɡ a j a k ɯ
かぜぐすり	k a z a ɡ ɯ s ɨ ɾʲ i
じって	d͡ʑ i t̚ t e
ヘーゼルナッツ	h e z e ɾ ɯ n a t̚ t͡s ɨ
かぶせる	k a b ɯ s e ɾ ɯ
すいとう	s ɨ i t o
ほんしゅう	h õ ɰ ɕ ɨ
り	ɾʲ i
にじゅうひょうじゅん	ɲ i ʑ ɨ ç o ʑ ɨ ɴ
はてしない	h a t e ɕ i n a i
げんこつ	ɡ ẽ ŋ k o t͡s ɨ
じょうず	d͡ʑ o z ɨ
ちゅうきえいご	t͡ɕ ɨ kʲ i e ɡ o
フォルマント	ɸ o ɾ ɯ m ã n t o
だんぼう	d ã m b o
チェンジャー	t͡ɕ ẽ ɲ d͡ʑ a
おもいたつ	o m o i t a t͡s ɨ
けがらわしい	k e ɡ a ɾ a ɰ a ɕ i
はいけん	h a i k ẽ ɴ
しんせかいざる	ɕ ĩ ɰ s e k a i z a ɾ ɯ
きみどり	kʲ i mʲ i d o ɾʲ i
こはるびより	k o h a ɾ ɯ bʲ i j o ɾʲ i
あたたまる	a t a t a m a ɾ ɯ
くもる	k ɯ m o ɾ ɯ
むね	m ɯ n e
ひゅ	ç ɨ
じゆうとう	d͡ʑ i j ɯ t o
れんご	ɾ ẽ ŋ ɡ o
バンカー	b ã ŋ k a
げきれい	ɡ e kʲ i ɾ e
ゴールデンウイーク	ɡ o ɾ ɯ d ẽ ɰ ɯ i k ɯ
かんどうし	k ã n d o ɕ i
ぶんかい	b ɯ ŋ k a i
うわばみ	ɯ ɰ a b a mʲ i
おおばん	o b a n
をば	o b a
つきんぼう	t͡s ɨ kʲ ĩ m b o
フルボッコ	ɸ ɯ ɾ ɯ b o k̚ k o
うわくちびる	ɯ ɰ a k ɯ t͡ɕ i bʲ i ɾ ɯ
ふかかちぜい	ɸ ɯ k a k a t͡ɕ i z e
ゴング	ɡ õ ŋ ɡ ɯ
ヰ	i
ナイター	n a i t a
さく	s a k ɯ
ぎさぶろう	ɡʲ i s a b ɯ ɾ o
いきがい	i kʲ i ɡ a i
ひまわり	ç i m a ɰ a ɾʲ i
すかさず	s ɨ k a s a z ɨ
かいかいしき	k a i k a i ɕ i kʲ i
スケートボード	s ɨ k e t o b o d o
みをうる	mʲ i o ɯ ɾ ɯ
はんが	h ã ŋ ɡ a
イギリス	i ɡʲ i ɾʲ i s ɨ
よんじゅう	j o s o
はないき	h a n a i kʲ i
しゅどう	ɕ ɨ d o
むら	m ɯ ɾ a
おっしゃる	o ɕ a ɾ ɯ
たいかく	t a i k a k ɯ
しが	ɕ i ɡ a
ラング・ド・シャ	ɾ ã ŋ ɡ ɯ d o ɕ a
よなが	j o n a ɡ a
ないてんきん	n a i t ẽ ŋʲ kʲ ĩ ɴ
ゲームセット	ɡ e m ɯ s e t̚ t o
ハーモニー	h a m o ɲ i
きそく	kʲ i s o k ɯ
ほしゅうこう	h o ɕ ɨ k o
こころゆくまで	k o k o ɾ o j ɯ k ɯ m a d e
えんでん	ẽ n d ẽ ɴ
しんこてんしゅぎ	ɕ ĩ ŋ k o t ẽ ɰ ɕ ɨ ɡʲ i
カーネル	k a n e ɾ ɯ
ポニー	p o ɲ i
こんかつ	k õ ŋ k a t͡s ɨ
ひめ	ç i m e
りゅうぜんこう	ɾʲ ɨ z ẽ ŋ k o
フェイラー	ɸ e ɾ a
なにとぞ	n a ɲ i t o z o
ぼうきゃく	b o kʲ a k ɯ
ふくろう	ɸ ɯ k ɯ ɾ o
なつめやし	n a t͡s ɨ m e j a ɕ i
りっきゃくち	ɾʲ i k̚ʲ kʲ a k ɯ t͡ɕ i
いんげんまめ	ĩ ŋ ɡ ẽ m a m e
そんしょう	s õ ɰ ɕ o
オタク	o t a k ɯ
やまうば	j a m a ɯ b a
むてっぽう	m ɯ t e p̚ p o
はくうち	h a k ɯ ɯ t͡ɕ i
せんばづる	s ẽ m b a z ɨ ɾ ɯ
りったいし	ɾʲ i t̚ t a i ɕ i
フォックス	ɸ o k̚ k ɯ s ɨ
デスボイス	d e s ɨ b o i s ɨ
キャスター	kʲ a s ɨ t a
こうかいぞうど	k o k a i z o d o
みせる	mʲ i s e ɾ ɯ
つまびく	t͡s ɨ m a bʲ i k ɯ
しんかんせん	ɕ ĩ ŋ k ã ɰ s ẽ ɴ
キル	kʲ i ɾ ɯ
へのへのもへ	h e n o h e n o m o h e
ブロックサイン	b ɯ ɾ o k̚ k ɯ s a ĩ ɴ
がいろ	ɡ a i ɾ o
エテン	e t ẽ ɴ
しょうがつ	ɕ o ɡ a t͡s ɨ
おおうち	o ɯ t͡ɕ i
しんていし	ɕ ĩ n t e ɕ i
おやゆび	o j a j ɯ bʲ i
ルクス	ɾ ɯ k ɯ s ɨ
ひなが	ç i n a ɡ a
えんぺん	ẽ m p ẽ ɴ
キャビンアテンダント	kʲ a bʲ ĩ ɰ a t ẽ n d ã n t o
にくしょう	ɲ i k ɯ ɕ o
かならず	k a n a ɾ a z ɨ
オリンピック	o ɾʲ ĩ m pʲ i k̚ k ɯ
さいさんせい	s a i s ã ɰ s e
じんぶん	d͡ʑ ĩ m b ɯ ɴ
らいき	ɾ a i kʲ i
トレアドールパンツ	t o ɾ e a d o ɾ ɯ p ã n t͡s ɨ
スラー	s ɨ ɾ a
けいきかんじゅう	k e kʲ i k ã ɲ d͡ʑ ɨ
ぬく	n ɯ k ɯ
ごらんになる	ɡ o ɾ ã ɲ ɲ i n a ɾ ɯ
じんば	d͡ʑ ĩ m b a
ぐれん	ɡ ɯ ɾ ẽ ɴ
イエメン	i e m ẽ ɴ
すうじゅう	s ɨ ʑ ɨ
ちらつく	t͡ɕ i ɾ a t͡s ɨ k ɯ
インディアンクラブ	ĩ n dʲ i ã ŋ k ɯ ɾ a b ɯ
おかげさま	o k a ɡ e s a m a
しょうが	ɕ o ɡ a
はなればなれ	h a n a ɾ e b a n a ɾ e
うちかつ	ɯ t͡ɕ i k a t͡s ɨ
せいがんしゃ	s e ɡ ã ɰ ɕ a
きうり	kʲ i ɯ ɾʲ i
かけがえ	k a k e ɡ a e
わようちゅう	ɰ a j o t͡ɕ ɨ
ちと	t͡ɕ i t o
わかれ	ɰ a k a ɾ e
ちしつ	t͡ɕ i ɕ i t͡s ɨ
きょく	kʲ o k ɯ
スノープラウ	s ɨ n o p ɯ ɾ a ɯ
つうちょう	t͡s ɨ t͡ɕ o
しんりゃくしゃ	ɕ ĩ n ɾʲ a k ɯ ɕ a
こうそううん	k o s o ɯ ɴ
トロット	t o ɾ o t̚ t o
ばくそく	b a k ɯ s o k ɯ
ちんこんか	t͡ɕ ĩ ŋ k õ ŋ k a
すいへいせん	s ɨ i h e s ẽ ɴ
ぞくわ	d͡z o k ɯ ɰ a
シーサー	ɕ i s a
くま	k ɯ m a
ゆきやま	j ɯ kʲ i j a m a
できごころ	d e kʲ i ɡ o k o ɾ o
ジン	d͡ʑ ĩ ɴ
ハム	h a m ɯ
よしひこ	j o ɕ i ç i k o
むげっけい	m ɯ ɡ e k̚ k e
ニャン	ɲ ã ɴ
じんぶんがく	d͡ʑ ĩ m b ɯ ŋ ɡ a k ɯ
うしろすがた	ɯ ɕ i ɾ o s ɨ ɡ a t a
じれったい	d͡ʑ i ɾ e t̚ t a i
ぞくしゅつ	d͡z o k ɯ ɕ ɨ t͡s ɨ
にほんざる	ɲ i h õ n d͡z a ɾ ɯ
ぼんご	b õ ŋ ɡ o
ぎ	ɡʲ i
すみきる	s ɨ mʲ i kʲ i ɾ ɯ
ごうじ	ɡ o ʑ i
ぼんにん	b õ ɲ ɲ ĩ ɴ
ちぇ	t͡ɕ e
モダンガール	m o d ã ŋ ɡ a ɾ ɯ
エンタブレチュア	ẽ n t a b ɯ ɾ e t͡ɕ ɨ a
ユーアールエル	j ɯ a ɾ ɯ e ɾ ɯ
しゅとく	ɕ ɨ t o k ɯ
マイコン	m a i k õ ɴ
ふさい	ɸ ɯ s a i
もうしゃ	m o ɕ a
ほくしんろん	h o k ɯ ɕ ĩ n ɾ õ ɴ
にそう	ɲ i s o
ちんせいざい	t͡ɕ ĩ ɰ s e z a i
かいいん	k a i ĩ ɴ
おうじる	o ʑ i ɾ ɯ
かんたく	k ã n t a k ɯ
こてんしゅぎ	k o t ẽ ɰ ɕ ɨ ɡʲ i
ちゅうりゃく	t͡ɕ ɨ ɾʲ a k ɯ
たんいけい	t ã ɰ i k e
サハリン	s a h a ɾʲ ĩ ɴ
ブダペスト	b ɯ d a p e s ɨ t o
おしはかる	o ɕ i h a k a ɾ ɯ
たんのうえん	t ã n o ẽ ɴ
まじわり	m a ʑ i ɰ a ɾʲ i
ねぶくろ	n e b ɯ k ɯ ɾ o
ホームプレート	h o m ɯ p ɯ ɾ e t o
さくふう	s a k ɯ ɸ ɯ
ゔ	b ɯ
オイディプスコンプレックス	o i dʲ i p ɯ s ɨ k õ m p ɯ ɾ e k̚ k ɯ s ɨ
フォークボール	ɸ o k ɯ b o ɾ ɯ
かきわけ	k a kʲ i ɰ a k e
けんぎゅうか	k ẽ ŋʲ ɡʲ ɨ k a
ほうひ	h o ç i
エイチ	e t͡ɕ i
あとあじ	a t o a ʑ i
さいぼう	s a i b o
フラグ	ɸ ɯ ɾ a ɡ ɯ
ふうふう	ɸ ɯ ɸ ɯ
きたす	kʲ i t a s ɨ
ほうかい	h o k a i
こせがれ	k o s e ɡ a ɾ e
らいはん	ɾ a i h ã ɴ
いろあせる	i ɾ o a s e ɾ ɯ
おおつぶ	o t͡s ɨ b ɯ
かくひつ	k a k u ç i t s u
ついたち	t͡s ɨ i t a t͡ɕ i
しゅんかん	ɕ ɨ ŋ k ã ɴ
たちあがる	t a t͡ɕ i a ɡ a ɾ ɯ
ざんぎょう	d͡z ã ŋʲ ɡʲ o
かふ	k a ɸ ɯ
かこうせんりょくがん	k a k o s ẽ n ɾʲ o k ɯ ɡ ã ɴ
すけひろ	s ɨ k e ç i ɾ o
ウィンウィン	ɰ ĩ ɰ ɰ ĩ ɴ
ノースリーブ	n o s ɨ ɾʲ i b ɯ
いさく	i s a k ɯ
エイズ	e z ɨ
おくりびと	o k ɯ ɾʲ i bʲ i t o
よくばり	j o k ɯ b a ɾʲ i
おだてる	o d a t e ɾ ɯ
スコップ	s ɨ k o p̚ p ɯ
りさん	ɾʲ i s ã ɴ
こくふく	k o k ɯ ɸ ɯ k ɯ
にくせい	ɲ i k ɯ s e
げどく	ɡ e d o k ɯ
さ	s a
おびじょう	o bʲ i ʑ o
マニトバ	m a ɲ i t o b a
みやこ	mʲ i j a k o
じょきょく	d͡ʑ o kʲ o k ɯ
ヴィヴァルディ	bʲ i b a ɾ ɯ dʲ i
まぐろ	m a ɡ ɯ ɾ o
まわし	m a ɰ a ɕ i
にて	ɲ i t e
さなえ	s a n a e
えぼしどり	e b o ɕ i d o ɾʲ i
ほんき	h õ ŋʲ kʲ i
トゥッティ	t ɯ t̚ʲ tʲ i
がりょうてんせい	ɡ a ɾʲ o t ẽ ɰ s e
こうさい	k o s a i
ぬれねずみ	n ɯ ɾ e n e z ɨ mʲ i
ぜいじゃくせい	d͡z e ʑ a k ɯ s e
すませる	s ɨ m a s e ɾ ɯ
いったりきたり	i t̚ t a ɾʲ i kʲ i t a ɾʲ i
はんたいせい	h ã n t a i s e
それらしい	s o ɾ e ɾ a ɕ i
びじゅつ	bʲ i ʑ ɨ t͡s ɨ
ケース	k e s ɨ
こうばん	k o b ã ɴ
せいど	s e d o
じゃかじゃか	d͡ʑ a k a ʑ a k a
こづくり	k o z ɨ k ɯ ɾʲ i
ざるそば	d͡z a ɾ ɯ s o b a
へんさん	h ẽ ɰ s ã ɴ
やつめうなぎ	j a t͡s ɨ m e ɯ n a ɡʲ i
トリニトロトルエン	t o ɾʲ i ɲ i t o ɾ o t o ɾ ɯ ẽ ɴ
あおぎみる	a o ɡʲ i mʲ i ɾ ɯ
ひらた	ç i ɾ a t a
こなちゃ	k o n a t͡ɕ a
おめいばんかい	o m e b ã ŋ k a i
たちぐい	t a t͡ɕ i ɡ ɯ i
じゅうろくしま	d͡ʑ ɨ ɾ o k ɯ ɕ i m a
ねかす	n e k a s ɨ
ちめい	t͡ɕ i m e
きたない	kʲ i t a n a i
あたくし	a t a k ɯ ɕ i
さんしょううお	s ã ɰ ɕ o ɯ o
やくだてる	j a k ɯ d a t e ɾ ɯ
せんげつ	s ẽ ŋ ɡ e t͡s ɨ
いきかえる	i kʲ i k a e ɾ ɯ
こぼし	k o b o ɕ i
にんちど	ɲ ĩ ɲ t͡ɕ i d o
どっちもどっち	d o t̚ t͡ɕ i m o d o t̚ t͡ɕ i
まえだて	m a e d a t e
かしだし	k a ɕ i d a ɕ i
みちみちる	mʲ i t͡ɕ i mʲ i t͡ɕ i ɾ ɯ
りょうじょく	ɾʲ o ʑ o k ɯ
かせいふ	k a s e ɸ ɯ
けいむしょ	k e m ɯ ɕ o
ダカール	d a k a ɾ ɯ
マグカップ	m a ɡ ɯ k a p̚ p ɯ
うわのそら	ɯ ɰ a n o s o ɾ a
たけひろ	t a k e ç i ɾ o
にしび	ɲ i ɕ i bʲ i
いくつ	i k ɯ t͡s ɨ
ソーイングセット	s o ĩ ŋ ɡ ɯ s e t̚ t o
きょうすいびょう	kʲ o s ɨ i bʲ o
さいちょう	s a i t͡ɕ o
あいしている	a i ɕ i t e i ɾ ɯ
うろたえる	ɯ ɾ o t a e ɾ ɯ
いちらん	i t͡ɕ i ɾ ã ɴ
い	i
せいぶつぶつりがく	s e b ɯ t͡s ɨ b ɯ t͡s ɨ ɾʲ i ɡ a k ɯ
こうちくぶつ	k o t͡ɕ i k ɯ b ɯ t͡s ɨ
シグマ	ɕ i ɡ ɯ m a
カキコ	k a kʲ i k o
ぜったいしゅぎしゃ	z e t a i ɕʲ ɯ ŋ i ɕʲ a
クェゼリン	k ɰ e z e ɾʲ ĩ ɴ
ブレザー	b ɯ ɾ e z a
いばらきべん	i b a ɾ a kʲ i b ẽ ɴ
オレガノ	o ɾ e ɡ a n o
ちどん	t͡ɕ i d õ ɴ
ジェル	d͡ʑ e ɾ ɯ
ドライフラワー	d o ɾ a i ɸ ɯ ɾ a ɰ a
むめい	m ɯ m e
ダニエル	d a ɲ i e ɾ ɯ
ゆうへい	j ɯ h e
ころぶ	k o ɾ o b ɯ
りょうし	ɾʲ o ɕ i
ぶんかざい	b ɯ ŋ k a z a i
クランベリー	k ɯ ɾ ã m b e ɾʲ i
ゴルフ	ɡ o ɾ ɯ ɸ ɯ
じつひきすう	d͡ʑ i t͡s ɨ ç i kʲ i s ɨ
こうせいざい	k o s e z a i
にくしょくどうぶつ	ɲ i k ɯ ɕ o k ɯ d o b ɯ t͡s ɨ
はんとう	h ã n t o
すうじく	s ɨ ʑ i k ɯ
しんに	ɕ ĩ ɲ ɲ i
ヒドラ	ç i d o ɾ a
なまみ	n a m a mʲ i
こうふ	k o ɸ ɯ
どじょうおせん	d o ʑ o o s ẽ ɴ
ずぞうがく	d͡z ɨ z o ɡ a k ɯ
ら	ɾ a
じゅんしゅ	d͡ʑ ɨ ɰ ɕ ɨ
さんじょう	s ã ɲ d͡ʑ o
せいく	s e k ɯ
そうけい	s o k e
せいたん	s e t ã ɴ
よみくだす	j o mʲ i k ɯ d a s ɨ
こち	k o t͡ɕ i
しゃしんか	ɕ a ɕ ĩ ŋ k a
テレタイプ	t e ɾ e t a i p ɯ
ブレスレット	b ɯ ɾ e s ɨ ɾ e t̚ t o
だが	d a ɡ a
ドアスコープ	d o a s ɨ k o p ɯ
ぜんりょく	d͡z ẽ n ɾʲ o k ɯ
ボタン	b o t ã ɴ
こうぐん	k o ɡ ɯ ɴ
そうめい	s o m e
さげもの	s a ɡ e m o n o
ていか	t e k a
ちゅうとん	t͡ɕ ɨ t õ ɴ
はいちょう	h a i t͡ɕ o
いずみ	i z ɨ mʲ i
おに	o ɲ i
すっきり	s ɨ k̚ʲ kʲ i ɾʲ i
すうひ	s ɨ ç i
イーゼル	i z e ɾ ɯ
なむあみだぶつ	n a m ɯ a mʲ i d a b ɯ t͡s ɨ
イケボ	i k e b o
しゅうさい	ɕ ɨ s a i
かるがるしい	k a ɾ ɯ ɡ a ɾ ɯ ɕ i
きかざる	kʲ i k a z a ɾ ɯ
あに	a n i
じょまくしき	d͡ʑ o m a k ɯ ɕ i kʲ i
ぶんりょう	b ɯ n ɾʲ o
しょうえんせい	ɕ o ẽ ɰ s e
コモロ	k o m o ɾ o
ゆうびんきょく	j ɯ bʲ ĩ ŋʲ kʲ o k ɯ
おしんこ	ɕ ĩ ŋ k o
アドバイザー	a d o b a i z a
けつろん	k e t͡s ɨ ɾ õ ɴ
はかる	h a k a ɾ ɯ
くさび	k ɯ s a bʲ i
ぐちる	ɡ ɯ t͡ɕ i ɾ ɯ
まちがい	m a t͡ɕ i ɡ a i
だいだい	d a i d a i
おんしつ	õ ɰ ɕ i t͡s ɨ
あきたいぬ	a kʲ i t a i n ɯ
ざっけん	d͡z a k̚ k ẽ ɴ
きょこん	kʲ o k õ ɴ
にほんかわうそ	ɲ i h õ ŋ k a ɰ a ɯ s o
ダーリン	d a ɾʲ ĩ ɴ
ひとごこち	ç i t o ɡ o k o t͡ɕ i
かぶさる	k a b ɯ s a ɾ ɯ
たおやか	t a o j a k a
でんしけいじばん	d ẽ ɰ ɕ i k e ʑ i b ã ɴ
さくらざわ	s a k ɯ ɾ a z a ɰ a
まいご	m a i ɡ o
アスペ	a s ɨ p e
とものり	t o m o n o ɾʲ i
しくかつよう	ɕ i k ɯ k a t͡s ɨ j o
じかく	d͡ʑ i k a k ɯ
ほぞあな	h o z o a n a
いっぷたさいせい	i p̚ p ɯ t a s a i s e
のう	n o
ミョ	mʲ o
ようおん	j o õ ɴ
よわまる	j o ɰ a m a ɾ ɯ
めあか	m e a k a
うらしまこうか	ɯ ɾ a ɕ i m a k o k a
マイクロコンピュータ	m a i k ɯ ɾ o k õ m pʲ ɨ t a
いっかくじゅう	i k̚ k a k ɯ ʑ ɨ
れつあく	ɾ e t͡s ɨ a k ɯ
てきち	t e kʲ i t͡ɕ i
しょうりゃく	ɕ o ɾʲ a k ɯ
まがお	m a ɡ a o
みをむすぶ	mʲ i o m ɯ s ɨ b ɯ
あきない	a kʲ i n a i
ぎりぎり	ɡʲ i ɾʲ i ɡʲ i ɾʲ i
こうきょうしょくぎょうあんていじょ	k o kʲ o ɕ o k ɯ ɡʲ o ã n t e ʑ o
あめふり	a m e ɸ ɯ ɾʲ i
はくあい	h a k ɯ a i
じょうやく	d͡ʑ o j a k ɯ
ノルベジアンフォレストキャット	n o ɾ ɯ b e ʑ i ã ɰ ɸ o ɾ e s ɨ t o kʲ a t̚ t o
オーディオコメンタリー	o dʲ i o k o m ẽ n t a ɾʲ i
とる	t o ɾ ɯ
だかん	d a k ã ɴ
はつ	h a t͡s ɨ
かぞく	k a z o k ɯ
しゅかく	ɕ ɨ k a k ɯ
まえじたぼいん	m a e ʑ i t a b o ĩ ɴ
さかいめ	s a k a i m e
ネオジム	n e o ʑ i m ɯ
シナプス	ɕ i n a p ɯ s ɨ
さけび	s a k e bʲ i
ならわし	n a ɾ a ɰ a ɕ i
かっぱ	k a p̚ p a
そのだ	s o n o d a
パントマイム	p ã n t o m a i m ɯ
せかいご	s e k a i ɡ o
セアカフタマタクワガタ	s e a k a ɸ ɯ t a m a t a k ɯ ɰ a ɡ a t a
しらゆき	ɕ i ɾ a j ɯ kʲ i
ニンフ	ɲ ĩ ɰ ɸ ɯ
たいしょう	t a i ɕ o
セクース	s e k ɯ s ɨ
こうはん	k o h ã ɴ
やまと	j a m a t o
ほっきがい	h o k̚ʲ kʲ i ɡ a i
ひろみつ	ç i ɾ o mʲ i t͡s ɨ
きりぐも	kʲ i ɾʲ i ɡ ɯ m o
プーチン	p ɯ t͡ɕ ĩ ɴ
みずでっぽう	mʲ i z ɨ d e p̚ p o
パーマネントウエーブ	p a m a n ẽ n t o ɯ e b ɯ
だっきゃく	d a k̚ʲ kʲ a k ɯ
しんしおん	ɕ ĩ ɰ ɕ i õ ɴ
よもぎ	j o m o ɡʲ i
そる	s o ɾ ɯ
なみのり	n a mʲ i n o ɾʲ i
ねんだい	n ẽ n d a i
ノーブラ	n o b ɯ ɾ a
ロボット	ɾ o b o t̚ t o
ぜんしゃ	d͡z ẽ ɰ ɕ a
こがた	k o ɡ a t a
ぼうはん	b o h ã ɴ
こぶり	k o b ɯ ɾʲ i
へいばんがた	h e b ã ŋ ɡ a t a
めんし	m ẽ ɰ ɕ i
セールスマン	s e ɾ ɯ s ɨ m ã ɴ
せっけっきゅう	s e k̚ k e k̚ʲ kʲ ɨ
やまねこ	j a m a n e k o
じん	d͡ʑ ĩ ɴ
しょうにん	ɕ o ɲ ĩ ɴ
ソウル	s o ɯ ɾ ɯ
しぶき	ɕ i b ɯ kʲ i
すずき	s ɨ z ɨ kʲ i
じぞく	d͡ʑ i z o k ɯ
おひつじざ	o ç i t͡s ɨ ʑ i z a
ぜんもん	d͡z ẽ m õ ɴ
へんとうえん	h ẽ n t o ẽ ɴ
すごろく	s ɨ ɡ o ɾ o k ɯ
らいう	ɾ a i ɯ
なんてね	n ã n t e n e
